weather_id,city_id,city_name,forecast_date,temp_mean_c,temp_min_c,temp_max_c,pop_mean,pop_max,rain_mm_sum
1,1,Aigues Mortes,2025-10-14,18.676666666666666,14.96,21.6,0.0,0.0,0.0
2,1,Aigues Mortes,2025-10-15,16.6,11.48,21.08,0.0,0.0,0.0
3,1,Aigues Mortes,2025-10-16,16.935,13.22,21.16,0.0,0.0,0.0
4,1,Aigues Mortes,2025-10-17,16.57375,12.95,20.41,0.0,0.0,0.0
5,1,Aigues Mortes,2025-10-18,16.009999999999998,12.37,19.63,0.0,0.0,0.0
6,1,Aigues Mortes,2025-10-19,15.154,12.69,18.3,0.0,0.0,0.0
7,2,Aix en Provence,2025-10-14,18.849999999999998,15.64,21.7,0.0,0.0,0.0
8,2,Aix en Provence,2025-10-15,16.596249999999998,8.44,21.83,0.13374999999999998,0.7,0.75
9,2,Aix en Provence,2025-10-16,17.8525,14.76,21.03,0.0425,0.34,0.0
10,2,Aix en Provence,2025-10-17,17.43625,13.78,21.07,0.0,0.0,0.0
11,2,Aix en Provence,2025-10-18,17.1325,13.41,20.98,0.0,0.0,0.0
12,2,Aix en Provence,2025-10-19,16.142000000000003,13.46,20.29,0.0,0.0,0.0
13,3,Amiens,2025-10-14,14.030000000000001,13.74,14.5,0.0,0.0,0.0
14,3,Amiens,2025-10-15,13.55625,10.7,17.39,0.0,0.0,0.0
15,3,Amiens,2025-10-16,13.122499999999999,10.51,17.13,0.0,0.0,0.0
16,3,Amiens,2025-10-17,13.38375,11.18,16.86,0.0,0.0,0.0
17,3,Amiens,2025-10-18,9.99125,6.0,15.07,0.0,0.0,0.0
18,3,Amiens,2025-10-19,8.278,4.75,14.74,0.0,0.0,0.0
19,4,Annecy,2025-10-14,12.976666666666667,11.42,14.56,0.0,0.0,0.0
20,4,Annecy,2025-10-15,11.15375,8.14,15.01,0.0,0.0,0.0
21,4,Annecy,2025-10-16,10.29375,7.7,14.59,0.0,0.0,0.0
22,4,Annecy,2025-10-17,9.60875,6.19,14.57,0.0,0.0,0.0
23,4,Annecy,2025-10-18,9.5525,5.52,15.75,0.0,0.0,0.0
24,4,Annecy,2025-10-19,9.58,5.61,16.68,0.0,0.0,0.0
25,5,Ariege,2025-10-14,15.286666666666667,13.85,16.06,0.8966666666666666,1.0,3.8
26,5,Ariege,2025-10-15,14.3225,10.02,18.06,0.18,0.98,0.8200000000000001
27,5,Ariege,2025-10-16,12.49,8.47,18.38,0.0,0.0,0.0
28,5,Ariege,2025-10-17,12.3375,8.28,18.19,0.0,0.0,0.0
29,5,Ariege,2025-10-18,12.49625,8.73,18.49,0.0,0.0,0.0
30,5,Ariege,2025-10-19,11.802000000000001,8.41,17.51,0.0,0.0,0.0
31,6,Avignon,2025-10-14,17.373333333333335,12.32,21.6,0.0,0.0,0.0
32,6,Avignon,2025-10-15,15.504999999999999,8.91,23.68,0.0,0.0,0.0
33,6,Avignon,2025-10-16,15.4225,10.05,22.76,0.0,0.0,0.0
34,6,Avignon,2025-10-17,15.03875,9.62,22.25,0.0,0.0,0.0
35,6,Avignon,2025-10-18,14.8825,9.41,22.54,0.0,0.0,0.0
36,6,Avignon,2025-10-19,14.266,10.08,21.53,0.0,0.0,0.0
37,7,Bayeux,2025-10-14,15.37,14.65,16.43,0.06666666666666667,0.2,0.15
